angle,likelihood
0,130.805897712708
1,141.268587112427
2,151.972877979279
3,162.877142429352
4,173.936629295349
5,185.102367401123
6,196.31963968277
7,207.526302337646
8,218.650531768799
9,229.609394073486
10,240.306234359741
11,250.630378723145
12,260.455989837646
13,269.643402099609
14,278.041124343872
15,285.489416122437
16,291.825556755066
17,296.890354156494
18,300.535202026367
19,302.630567550659
20,303.073596954346
21,301.795434951782
22,298.767423629761
23,294.00577545166
24,287.573671340942
25,279.581165313721
26,270.183420181274
27,259.575319290161
28,247.98641204834
29,235.672092437744
30,222.905826568604
31,209.969568252563
32,197.145712375641
33,184.708452224731
34,172.916531562805
35,162.007081508636
36,152.190101146698
37,143.644380569458
38,136.513829231262
39,130.905151367188
40,126.885676383972
41,124.482178688049
42,123.680126667023
43,124.423742294312
44,126.617085933685
45,130.125951766968
46,134.781002998352
47,140.382480621338
48,146.705758571625
49,153.508496284485
50,160.538530349731
51,167.542636394501
52,174.27544593811
53,180.507755279541
54,186.034905910492
55,190.682888031006
56,194.313597679138
57,196.827626228333
58,198.165345191956
59,198.305726051331
60,197.263336181641
61,195.08376121521
62,191.838049888611
63,187.616443634033
64,182.521963119507
65,176.664400100708
66,170.155036449432
67,163.102388381958
68,155.609238147736
69,147.770702838898
70,139.673614501953
71,131.396758556366
72,123.011696338654
73,114.584243297577
74,106.175792217255
75,97.8445649147034
76,89.6465837955475
77,81.6361367702484
78,73.8656461238861
79,66.3851499557495
80,59.2414677143097
81,52.4768888950348
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,52.1140217781067
115,61.0026717185974
116,70.9662675857544
117,82.0892214775085
118,94.4697797298431
119,108.225786685944
120,123.501598834991
121,140.475165843964
122,159.365439414978
123,180.440413951874
124,204.022908210754
125,230.497813224792
126,260.314083099365
127,293.989682197571
128,332.108688354492
129,375.320148468018
130,424.331474304199
131,479.900646209717
132,542.824649810791
133,613.925409317017
134,694.035530090332
135,783.984565734863
136,884.575366973877
137,996.573448181152
138,1120.6859588623
139,1257.55004882813
140,1407.71350860596
141,1571.63009643555
142,1749.64866638184
143,1941.99542999268
144,2148.78101348877
145,2369.99588012695
146,2605.50384521484
147,2855.03978729248
148,3118.22032928467
149,3394.53277587891
150,3683.34846496582
151,3983.90960693359
152,4295.33805847168
153,4616.6259765625
154,4946.62322998047
155,5284.05799865723
156,5627.50549316406
157,5975.35247802734
158,6325.85716247559
159,6677.05612182617
160,7026.82266235352
161,7372.81494140625
162,7712.50305175781
163,8043.15948486328
164,8361.87744140625
165,8665.61584472656
166,8951.20544433594
167,9215.43121337891
168,9455.07965087891
169,9666.99523925781
170,9848.18954467773
171,9995.93658447266
172,10107.787322998
173,10181.7695617676
174,10216.381072998
175,10210.6658935547
176,10164.2654418945
177,10077.5009155273
178,9951.31301879883
179,9787.27264404297
180,9587.54425048828
181,9354.84237670898
182,9092.30117797852
183,8803.48815917969
184,8492.19512939453
185,8162.39624023438
186,7818.14422607422
187,7463.44223022461
188,7102.22702026367
189,6738.19885253906
190,6374.84970092773
191,6015.36712646484
192,5662.61138916016
193,5319.11239624023
194,4987.03689575195
195,4668.23387145996
196,4364.19067382813
197,4076.08947753906
198,3804.79431152344
199,3550.90255737305
200,3314.7388458252
201,3096.3924407959
202,2895.73287963867
203,2712.43133544922
204,2545.98197937012
