dist,C2',C3'
-3,0,0
-2.99,0,0
-2.98,0,0
-2.97,0,0
-2.96,0,0
-2.95,0,0
-2.94,0,0
-2.93,0,0
-2.92,0,0
-2.91,0,0
-2.9,0,0
-2.89,0,0
-2.88,0,0
-2.87,0,0
-2.86,0,0
-2.85,0,0
-2.84,0,0
-2.83,0,0
-2.82,0,0
-2.81,0,0
-2.8,0,0
-2.79,0,0
-2.78,0,0
-2.77,0,0
-2.76,0,0
-2.75,0,0
-2.74,0,0
-2.73,0,0
-2.72,0,0
-2.71,0,0
-2.7,0,0
-2.69,0,0
-2.68,0,0
-2.67,0,0
-2.66,0,0
-2.65,0,0
-2.64,0,0
-2.63,0,0
-2.62,0,0
-2.61,0,0
-2.6,0,0
-2.59,0,0
-2.58,0,0
-2.57,0,0
-2.56,0,0
-2.55,0,0
-2.54,0,0
-2.53,0,0
-2.52,0,0
-2.51,0,0
-2.5,0,0
-2.49,0,0
-2.48,0,0
-2.47,0,0
-2.46,0,0
-2.45,0,0
-2.44,0,0
-2.43,0,0
-2.42,0,0
-2.41,0,0
-2.4,0,0
-2.39,0,0
-2.38,0,0
-2.37,2.54438806841929e-039,0
-2.36,5.182224527529e-039,0
-2.35,1.05242082903787e-038,0
-2.34,2.13106709896543e-038,0
-2.33,4.30271103704294e-038,0
-2.32,9.08024028781524e-038,0
-2.31,1.8237573290905e-037,0
-2.3,3.65238422639647e-037,0
-2.29,7.33299172490321e-037,0
-2.28,1.46022411852612e-036,0
-2.27,2.8993364761757e-036,0
-2.26,5.74008800425352e-036,0
-2.25,1.1331291297685e-035,0
-2.24,2.23039219349842e-035,0
-2.23,4.37747839953044e-035,0
-2.22,8.56658842111642e-035,0
-2.21,1.67160221365411e-034,0
-2.2,3.25239588158601e-034,0
-2.19,6.30973500604237e-034,0
-2.18,1.2205678551851e-033,0
-2.17,2.35425161682307e-033,0
-2.16,4.52777501796904e-033,0
-2.15,8.68277138993356e-033,0
-2.14,1.66025000093896e-032,0
-2.13,3.16541233019653e-032,0
-2.12,6.01776818037643e-032,0
-2.11,1.14071123788259e-031,0
-2.1,2.15604495360308e-031,0
-2.09,4.06332803110322e-031,0
-2.08,7.63568498570979e-031,0
-2.07,1.43072492531802e-030,0
-2.06,2.67304631806365e-030,0
-2.05,4.97965249076129e-030,0
-2.04,9.24983376741148e-030,0
-2.03,1.71321218573588e-029,0
-2.02,3.16395924050378e-029,0
-2.01,5.82630340660771e-029,0
-2,1.06978872285962e-028,0
-1.99,1.95859925329263e-028,0
-1.98,3.57549327509728e-028,0
-1.97,6.50832443149944e-028,0
-1.96,1.18125959803669e-027,0
-1.95,2.13778763087368e-027,0
-1.94,3.85768621204223e-027,0
-1.93,6.94117477908804e-027,0
-1.92,1.24532255688952e-026,0
-1.91,2.22778926458841e-026,0
-1.9,3.97383565735152e-026,0
-1.89,7.06788124790609e-026,0
-1.88,1.25346497269352e-025,0
-1.87,2.21655616263197e-025,0
-1.86,3.90831324034242e-025,0
-1.85,6.87137981746054e-025,0
-1.84,1.20459918113483e-024,0
-1.83,2.1056460664472e-024,0
-1.82,3.67005387696135e-024,0
-1.81,6.37832617169453e-024,0
-1.8,1.10530622534927e-023,0
-1.79,1.9098669614199e-023,0
-1.78,3.29054835713327e-023,0
-1.77,5.65299049967698e-023,0
-1.76,9.6835149983678e-023,0
-1.75,1.65399039737173e-022,0
-1.74,2.81694227049401e-022,0
-1.73,4.78374744500433e-022,0
-1.72,8.10035194094592e-022,0
-1.71,1.36768175054534e-021,0
-1.7,2.30256426768897e-021,0
-1.69,3.86530877760624e-021,0
-1.68,6.47001409262407e-021,0
-1.67,1.07986506420108e-020,0
-1.66,1.79713162948043e-020,0
-1.65,2.98219839640306e-020,0
-1.64,4.93445902559728e-020,0
-1.63,8.14121110891435e-020,0
-1.62,1.33932250947882e-019,0
-1.61,2.19699015597719e-019,0
-1.6,3.59350212355034e-019,0
-1.59,5.86077212930945e-019,0
-1.58,9.5310097303348e-019,0
-1.57,1.54550487687954e-018,0
-1.56,2.49891676642576e-018,0
-1.55,4.02882494606046e-018,0
-1.54,6.4766852299473e-018,0
-1.53,1.03818594957306e-017,0
-1.52,1.6593789027018e-017,0
-1.51,2.64462645112432e-017,0
-1.5,4.20273032270881e-017,0
-1.49,6.6595861130391e-017,0
-1.48,1.05223270060151e-016,0
-1.47,1.6577739737901e-016,0
-1.46,2.60428167627656e-016,0
-1.45,4.07943349375406e-016,2.22711587921611e-039
-1.44,6.37178575808357e-016,4.53800138062956e-039
-1.43,9.92372154300114e-016,9.22147575873607e-039
-1.42,1.54111630818994e-015,1.86825525353947e-038
-1.41,2.38641664955064e-015,3.7741617152572e-038
-1.4,3.68474493945377e-015,7.60218878296365e-038
-1.39,5.6730815147833e-015,1.52683776693899e-037
-1.38,8.7092588322386e-015,3.0576251776776e-037
-1.37,1.33319665528674e-014,6.10536010289787e-037
-1.36,2.03497124479004e-014,1.21555633045779e-036
-1.35,3.09723119818351e-014,2.4131019623302e-036
-1.34,4.70046026298902e-014,4.77653419433798e-036
-1.33,7.11309876559769e-014,9.42728676232094e-036
-1.32,1.073319899755e-013,1.85522740301638e-035
-1.31,1.61493079109051e-013,3.64035964167462e-035
-1.3,2.42286225804467e-013,7.12254067682302e-035
-1.29,3.62456809357981e-013,1.38946749824493e-034
-1.28,5.40675414596042e-013,2.7027898244392e-034
-1.27,8.04211189829596e-013,5.24202568117331e-034
-1.26,1.19277070859125e-012,1.01376267486746e-033
-1.25,1.76399519991044e-012,1.95477326967855e-033
-1.24,2.60130784100754e-012,3.75843233245509e-033
-1.23,3.82507740759319e-012,7.20510299192096e-033
-1.22,5.60845510658159e-012,1.37728485387223e-032
-1.21,8.19975597837752e-012,2.62500789589117e-032
-1.2,1.1954009830617e-011,4.98870045885867e-032
-1.19,1.73772714967546e-011,9.45295528859233e-032
-1.18,2.51887850855059e-011,1.78606645269165e-031
-1.17,3.64071515990272e-011,3.36478722174289e-031
-1.16,5.24713952843037e-011,6.32054190600982e-031
-1.15,7.54075829556555e-011,1.18382540842498e-030
-1.14,1.08059859671439e-010,2.21084175124123e-030
-1.13,1.54408458241662e-010,4.11684264652327e-030
-1.12,2.20006415863061e-010,7.64376768486605e-030
-1.11,3.12577463912334e-010,1.41510079983627e-029
-1.1,4.42831271652011e-010,2.61218512626169e-029
-1.09,6.25572649237682e-010,4.80791859655814e-029
-1.08,8.81203832125976e-010,8.82362216052649e-029
-1.07,1.23775500959766e-009,1.61463129486123e-028
-1.06,1.73362280087019e-009,2.94602522096867e-028
-1.05,2.42121500626524e-009,5.35972340530871e-028
-1.04,3.37188588162007e-009,9.72237939689854e-028
-1.03,4.68245797691225e-009,1.75853774327082e-027
-1.02,6.48390718893666e-009,3.1714309579454e-027
-1.01,8.95286511592985e-009,5.70305566241372e-027
-1,1.23267955842721e-008,1.02254985503626e-026
-0.99,1.69239466885074e-008,1.82812998921609e-026
-0.98,2.31695231889262e-008,3.25884171514314e-026
-0.97,3.16298454094976e-008,5.79236773617116e-026
-0.96,4.30569926379576e-008,1.02657002579473e-025
-0.95,5.84459662889003e-008,1.81407279603384e-025
-0.94,7.91100660535449e-008,3.19637317591337e-025
-0.93,1.06776553820964e-007,5.61560890573345e-025
-0.92,1.4371025258697e-007,9.83723156661217e-025
