row.names,#a,&a,0a,0b,0i,1L,1[,1a,1b,1c,1e,1f,1g,1m,1o,1t,1z,2[,2a,2h,2o,3a,3b,3d,4a,4b,4d,4g,4n,4p,4s,5d,5j,5q,5z,6d,6g,6j,6n,6p,7a,7d,7p,7r,8d,9a,2g,2u,2z,3g,5n,5r
2,3.09559E-032,1.01689E-025,3.00583E-021,1.51292E-018,0.00000486961,0.000000000000153689,8.37432E-033,2.59097E-016,2.56316E-018,0.0000000000000581221,3.24298E-018,7.14633E-022,6.58993E-037,6.13336E-034,5.72861E-031,1.60328E-017,4.97523E-026,1.04369E-032,1.4008E-020,4.23631E-022,0,0,0,1.38887E-038,0.0000000000643594,1.47085E-026,0,3.86966E-033,0.0000000050036,4.32814E-018,7.24964E-019,0,0,0,9.75307E-025,0,1.49401E-020,7.82009E-039,9.00612E-018,3.59524E-033,2.70762E-023,0,0,5.77186E-028,0,0,2.10236E-036,0,1.7884E-015,0,1.87289E-024,0
2.01,4.26329E-032,1.35188E-025,3.86983E-021,1.91797E-018,0.00000556095,0.000000000000187835,1.15293E-032,3.20411E-016,3.23636E-018,0.0000000000000707632,4.08934E-018,9.25857E-022,9.27E-037,8.51164E-034,7.83859E-031,2.01989E-017,6.62429E-026,1.43673E-032,1.79609E-020,5.49482E-022,0,0,0,1.97118E-038,0.0000000000766674,1.96161E-026,0,5.34561E-033,0.00000000586883,5.46458E-018,9.24971E-019,0,0,0,1.28868E-024,0,1.92043E-020,1.1128E-038,1.13603E-017,4.97176E-033,3.53349E-023,0,0,7.75866E-028,0,0,2.95431E-036,0,2.21617E-015,0,2.46749E-024,0
2.02,5.86731E-032,1.79591E-025,4.97856E-021,2.4297E-018,0.00000634587,0.000000000000229403,1.58611E-032,3.95967E-016,4.08348E-018,0.0000000000000860928,5.15282E-018,1.19864E-021,1.30338E-036,1.18034E-033,1.07178E-030,2.5429E-017,8.81357E-026,1.97638E-032,2.30127E-020,7.12202E-022,0,0,0,2.79566E-038,0.0000000000912629,2.61422E-026,0,7.37905E-033,0.00000000687874,6.89442E-018,1.1793E-018,0,0,0,1.70152E-024,0,2.46677E-020,1.58238E-038,1.43194E-017,6.8704E-033,4.60791E-023,0,0,1.04216E-027,0,0,4.1484E-036,0,2.74427E-015,0,3.24851E-024,0
2.03,8.06896E-032,2.38408E-025,6.40029E-021,3.07573E-018,0.00000723635,0.000000000000279969,2.18047E-032,4.89009E-016,5.14866E-018,0.000000000000104669,6.48816E-018,1.55068E-021,1.8311E-036,1.63562E-033,1.46438E-030,3.19901E-017,1.17179E-025,2.71675E-032,2.9464E-020,9.22438E-022,0,0,0,3.9621E-038,0.000000000108558,3.48143E-026,0,1.01786E-032,0.00000000805669,8.69205E-018,1.50248E-018,0,0,0,2.245E-024,0,3.16626E-020,2.24848E-038,1.80363E-017,9.48723E-033,6.00466E-023,0,7.68043E-040,1.39884E-027,0,0,5.82088E-036,0,3.39575E-015,0,4.27364E-024,0
2.04,1.10886E-031,3.16259E-025,8.22206E-021,3.89069E-018,0.00000824585,0.000000000000341436,2.9954E-032,6.03505E-016,6.48709E-018,0.000000000000127164,8.16361E-018,2.00466E-021,2.57056E-036,2.2649E-033,1.99938E-030,4.02148E-017,1.55681E-025,3.73171E-032,3.76964E-020,1.19387E-021,0,0,0,5.61104E-038,0.000000000129037,4.63295E-026,0,1.40304E-032,0.00000000942959,1.09504E-017,1.91284E-018,0,0,0,2.95995E-024,0,4.06118E-020,3.19261E-038,2.27015E-017,1.3091E-032,7.8191E-023,0,1.09633E-039,1.87625E-027,0,0,8.16186E-036,0,4.19882E-015,0,5.61816E-024,0
2.05,1.52271E-031,4.19229E-025,1.05547E-020,4.91803E-018,0.00000938941,0.000000000000416099,4.11193E-032,7.44307E-016,8.16766E-018,0.000000000000154384,1.02642E-017,2.58967E-021,3.60556E-036,3.13402E-033,2.72785E-030,5.05172E-017,2.06684E-025,5.12211E-032,4.81941E-020,1.54404E-021,0,0,0,7.94046E-038,0.000000000153267,6.16089E-026,0,1.93257E-032,0.0000000110286,1.37856E-017,2.43352E-018,0,0,0,3.89978E-024,0,5.20528E-020,4.52988E-038,2.85529E-017,1.80507E-032,1.01744E-022,0,1.5638E-039,2.51477E-027,0,0,1.1436E-035,0,5.18804E-015,0,7.38033E-024,0
2.06,2.08954E-031,5.55325E-025,1.35393E-020,6.21211E-018,0.0000106839,0.000000000000506725,5.64045E-032,9.1734E-016,1.02763E-017,0.000000000000187299,1.2896E-017,3.34297E-021,5.05366E-036,4.33342E-033,3.71897E-030,6.34129E-017,2.74197E-025,7.02556E-032,6.15705E-020,1.99547E-021,2.05225E-039,0,0,1.1229E-037,0.000000000181916,8.18681E-026,0,2.65998E-032,0.0000000128895,1.73421E-017,3.09369E-018,0,0,0,5.13433E-024,0,6.6669E-020,6.4227E-038,3.58864E-017,2.48717E-032,1.32296E-022,0,2.22893E-039,3.36809E-027,0,0,1.60116E-035,0,6.40566E-015,0,9.68815E-024,0
2.07,2.86531E-031,7.35071E-025,1.73552E-020,7.841E-018,0.000012148,0.000000000000616648,7.73153E-032,1.12984E-015,1.29202E-017,0.00000000000022707,1.61908E-017,4.31229E-021,7.07823E-036,5.98749E-033,5.06653E-030,7.95427E-017,3.63501E-025,9.62935E-032,7.86025E-020,2.57701E-021,2.92922E-039,0,0,1.58678E-037,0.000000000215762,1.0871E-025,0,3.65854E-032,0.0000000150536,2.18003E-017,3.93011E-018,0,0,0,6.75485E-024,0,8.53278E-020,9.09984E-038,4.50709E-017,3.42452E-032,1.71896E-022,0,3.17466E-039,4.50767E-027,0,0,2.24016E-035,0,7.9033E-015,0,1.27084E-023,0
2.08,3.92617E-031,9.72296E-025,2.22305E-020,9.88981E-018,0.0000138028,0.000000000000749878,1.05903E-031,1.39062E-015,1.62327E-017,0.000000000000275093,2.03127E-017,5.55863E-021,9.9066E-036,8.26703E-033,6.89744E-030,9.97027E-017,4.81543E-025,1.31884E-031,1.00273E-019,3.3256E-021,4.17782E-039,0,0,2.24064E-037,0.000000000255719,1.44249E-025,0,5.02838E-032,0.0000000175685,2.73847E-017,4.98905E-018,0,0,0,8.88045E-024,0,1.0913E-019,1.28833E-037,5.65651E-017,4.71166E-032,2.23189E-022,0,4.51844E-039,6.02854E-027,0,0,3.13196E-035,0,9.744E-015,0,1.66581E-023,0
2.09,5.37592E-031,1.28515E-024,2.84546E-020,1.24649E-017,0.0000156718,0.00000000000091124,1.44955E-031,1.71044E-015,2.03801E-017,0.000000000000333037,2.54653E-017,7.16001E-021,1.38554E-035,1.14061E-032,9.38317E-030,1.24881E-016,6.37456E-025,1.80497E-031,1.27826E-019,4.28854E-021,5.95432E-039,0,1.20925E-039,3.16163E-037,0.000000000302855,1.91267E-025,0,6.90612E-032,0.0000000204889,3.43747E-017,6.32874E-018,0,0,0,1.16666E-023,0,1.39472E-019,1.82265E-037,7.09394E-017,6.47786E-032,2.89575E-022,0,6.42636E-039,8.05662E-027,0,0,4.3756E-035,0,0.0000000000000120047,0,2.18194E-023,0
2.1,7.35576E-031,1.69745E-024,3.6395E-020,1.56991E-017,0.000017781,0.00000000000110653,1.98262E-031,2.1024E-015,2.55689E-017,0.000000000000402902,3.19018E-017,9.21606E-021,1.93643E-035,1.57255E-032,1.27552E-029,1.56305E-016,8.4324E-025,2.46854E-031,1.62832E-019,5.52627E-021,8.48019E-039,0,1.72626E-039,4.45802E-037,0.00000000035842,2.53427E-025,0,9.47804E-032,0.0000000238776,4.31174E-017,8.02237E-018,0,0,0,1.53157E-023,0,1.78121E-019,2.57675E-037,8.89021E-017,8.89981E-032,3.75435E-022,0,9.13309E-039,1.07591E-026,0,0,6.10851E-035,0,0.0000000000000147791,0,2.85591E-023,0
2.11,1.00574E-030,2.2404E-024,4.65173E-020,1.97581E-017,0.0000201596,0.00000000000134271,2.70974E-031,2.58245E-015,3.20561E-017,0.00000000000048708,3.9936E-017,1.18539E-020,2.70434E-035,2.16648E-032,1.73266E-029,1.95493E-016,1.11465E-024,3.3736E-031,2.07273E-019,7.11606E-021,1.20688E-038,0,2.46252E-039,6.2814E-037,0.00000000042387,3.35544E-025,0,1.29983E-031,0.000000027807,5.40444E-017,1.01619E-017,0,0,0,2.00919E-023,0,2.27316E-019,3.64019E-037,1.11333E-016,1.22184E-031,4.86399E-022,0,1.29704E-038,1.43578E-026,0,0,8.52153E-035,0,0.0000000000000181815,0,3.73534E-023,0
2.12,1.37413E-030,2.95489E-024,5.94116E-020,2.48484E-017,0.0000228398,0.00000000000162813,3.7009E-031,3.16998E-015,4.01608E-017,0.000000000000588431,4.99573E-017,1.52358E-020,3.77405E-035,2.98261E-032,2.35194E-029,2.44329E-016,1.47235E-024,4.60707E-031,2.63653E-019,9.15654E-021,1.71632E-038,0,3.51019E-039,8.84398E-037,0.000000000500908,4.43949E-025,0,1.78135E-031,0.00000003236,6.76913E-017,1.28627E-017,0,0,0,2.63386E-023,0,2.8989E-019,5.1387E-037,1.39322E-016,1.6762E-031,6.29701E-022,0,1.8407E-038,1.91461E-026,0,0,1.18793E-034,0,0.0000000000000223509,0,4.88203E-023,0
2.13,1.87611E-030,3.89445E-024,7.58256E-020,3.12276E-017,0.0000258579,0.00000000000197283,5.05092E-031,3.88858E-015,5.02791E-017,0.000000000000710373,6.24482E-017,1.95685E-020,5.2631E-035,4.1032E-032,3.19025E-029,3.05144E-016,1.94346E-024,6.28705E-031,3.35127E-019,1.17736E-020,2.43907E-038,0,5.00003E-039,1.24432E-036,0.000000000591519,5.86954E-025,0,2.43947E-031,0.0000000376316,8.47231E-017,1.62696E-017,0,0,0,3.45029E-023,0,3.69425E-019,7.24894E-037,1.74223E-016,2.29789E-031,8.14634E-022,0,2.61033E-038,2.55129E-026,0,0,1.65481E-034,0,0.0000000000000274566,0,6.37614E-023,0
2.14,2.55957E-030,5.12903E-024,9.67035E-020,3.92159E-017,0.0000292536,0.00000000000238877,6.88839E-031,4.76685E-015,6.29018E-017,0.000000000000856979,7.80051E-017,2.51149E-020,7.33424E-035,5.6407E-032,4.32422E-029,3.80817E-016,2.56343E-024,8.57329E-031,4.25666E-019,1.51276E-020,3.4636E-038,0,7.11691E-039,1.74941E-036,0.000000000698011,7.75457E-025,0,3.33832E-031,0.0000000437305,1.05963E-016,2.0564E-017,0,0,0,4.51651E-023,0,4.70441E-019,1.02181E-036,2.17708E-016,3.14782E-031,1.05311E-021,0,3.69907E-038,3.39721E-026,0,8.79882E-040,2.30351E-034,0,0.000000000000033704,0,8.3214E-023,0
2.15,3.48953E-030,6.75012E-024,1.2324E-019,4.92118E-017,0.0000330713,0.00000000000289033,9.38735E-031,5.83958E-015,7.86376E-017,0.00000000000103311,9.73665E-017,3.22101E-020,1.02131E-034,7.74855E-032,5.8569E-029,4.74911E-016,3.37873E-024,1.16826E-030,5.40274E-019,1.94229E-020,4.91498E-038,0,1.01228E-038,2.45777E-036,0.000000000823076,1.02376E-024,0,4.56497E-031,0.0000000507817,1.3243E-016,2.5973E-017,0,0,0,5.90798E-023,0,5.98646E-019,1.43933E-036,2.7185E-016,4.30905E-031,1.3604E-021,0,5.23801E-038,4.5203E-026,0,1.25609E-039,3.20412E-034,0,0.0000000000000413428,0,1.08522E-022,0
