row.names,startPucker,endPucker,thetaShift,etaShift,thetaVar,etaVar,angle,thetaRot,etaRot
#a,C2',C3', 60.849  ,159.3987  ,  4.054769,  18.50454,-38.58837   ,-0.623721   , 0.781647  
&a,C3',C3',176.5259 ,174.4165  ,158.6744  , 172.6157 ,-47.18694   ,-0.733575   , 0.6796085 
0a,C2',C3',114.974  ,176.7791  ,306.3112  , 776.633  ,-88.01743   ,-0.9994014  , 0.03459542
0b,C2',C2',100.4165 ,211.0792  ,145.5974  , 577.8572 , 78.50985   ,-0.979959   ,-0.1991995 
0i,C2',C3',155.0415 ,208.1331  , 58.47996 , 149.4888 , 82.09442   ,-0.9904961  ,-0.137541  
1L,C3',C3',223.9811 ,184.1692  , 57.87976 , 697.5261 , 68.59741   ,-0.9310393  ,-0.3649189 
1[,C3',C2',231.2346 ,229.6188  , 96.61434 , 201.3348 ,-45.09614   ,-0.7082923  , 0.7059193 
1a,C3',C3',217.1068 ,183.1035  , 39.20376 , 184.119  , 80.27994   ,-0.9856444  ,-0.1688344 
1b,C3',C2',226.0664 ,219.4384  , 93.75031 , 561.9342 , 76.03406   ,-0.9704394  ,-0.2413451 
1c,C3',C3',226.6233 ,184.4322  , 62.67828 , 353.1628 , 58.60844   ,-0.8536276  ,-0.5208839 
1e,C3',C3',155.8882 ,177.5102  , 10.71096 , 251.3759 , 35.48583   , 0.5805016  , 0.8142591 
1f,C3',C3',204.7874 ,160.6983  ,133.9558  , 497.768  , 55.79489   ,-0.8270304  ,-0.5621572 
1g,C3',C3',199.4936 , 48.72737 , 40.35319 , 142.6556 ,-85.78339   ,-0.9972932  , 0.07352723
1m,C3',C3',229.0593 ,215.1486  ,463.849   , 879.088  ,-23.50047   ,-0.3987566  , 0.9170568 
1o,C3',C2',184.7025 ,109.267   , 67.65005 ,1538.353  , 30.39398   , 0.5059431  , 0.8625669 
1t,C3',C2',229.0028 ,237.5541  , 35.76224 , 591.6187 , 60.9964    ,-0.8745893  ,-0.4848645 
1z,C3',C2',178.0208 , 97.02442 ,114.9527  ,2138.195  , 79.27821   ,-0.9825421  ,-0.1860403 
2[,C2',C2',290.5521 ,232.7347  ,455.0557  , 957.6294 ,-70.03895   ,-0.9399249  , 0.3413813 
2a,C2',C3',280.0273 ,201.1383  ,363.5266  , 940.2115 , 65.55248   ,-0.9103407  ,-0.4138597 
2g,C2',C3',240.284  , 83.42927 ,230.2581  , 474.061  , -4.002074  ,-0.06979259 , 0.9975615 
2h,C2',C3',257.9853 ,331.0173  ,661.1989  ,1873.253  ,-10.28134   ,-0.1784819  , 0.9839432 
2o,C2',C2',260.5123 ,115.4359  , 85.03525 , 727.9544 , 36.18329   , 0.5903703  , 0.8071326 
2u,C2',C2',269.3502 ,350.6758  ,102.6403  , 727.1555 ,-30.66732   ,-0.5100524  , 0.8601433 
2z,C2',C2',218.3822 ,108.4437  ,344.2216  ,2784.07   , 75.08139   ,-0.9662925  ,-0.2574467 
3a,C3',C3',106.4159 ,181.4547  ,268.0814  ,1362.387  ,-82.69152   ,-0.9918756  , 0.1272113 
3b,C3',C2',118.7569 ,220.3226  ,878.8136  ,1249.666  ,-19.95877   ,-0.3413439  , 0.9399385 
3d,C3',C3',166.1621 ,338.7374  ,391.2429  ,2747.115  ,-32.35605   ,-0.535179   , 0.8447387 
3g,C3',C3', 42.57231,101.3006  , 99.82444 ,3479.519  ,-60.924     ,-0.8739759  , 0.4859693 
4a,C2',C3',170.2869 ,217.1638  ,245.0358  ,1064.554  ,  7.253319  , 0.1262564  , 0.9919976 
4b,C2',C2',161.2079 ,221.7645  ,239.1857  , 469.1247 , 37.53151   , 0.6091977  , 0.7930184 
4d,C2',C3',179.0231 ,  8.194477, 43.25515 ,1812.136  , -0.01243238,-2.169859e-4, 1         
4g,C2',C3',132.022  ,116.8069  ,250.4208  , 572.6523 , 84.174     ,-0.9948348  ,-0.1015077 
4n,C2',C3',176.0938 ,137.1133  , 80.49399 , 367.8543 ,-80.22435   ,-0.9854802  , 0.1697906 
4p,C2',C2',184.2043 , 29.81384 ,558.2654  ,1430.572  ,-28.40792   ,-0.4757458  , 0.8795828 
4s,C2',C2',140.1744 ,277.5177  , 16.40145 ,  26.83358, 78.73855   ,-0.9807463  ,-0.1952863 
5d,C3',C3',312.9233 ,344.3414  , 10.61667 , 731.2821 ,-56.30187   ,-0.8319722  , 0.5548173 
5j,C3',C3', 22.56393, 84.72608 , 69.11181 ,1181.388  ,-66.26312   ,-0.9154037  , 0.4025371 
5n,C3',C3', 65.7026 ,152.393   ,431.6949  , 717.2544 , 71.55762   ,-0.9486423  ,-0.3163508 
5q,C3',C2',355.6351 ,116.8217  , 40.08348 ,1166.39   ,-51.21317   ,-0.779482   , 0.6264246 
5r,C3',C2',343.5858 ,252.9567  ,598.637   ,1601.526  ,-37.22936   ,-0.6050073  , 0.79622   
5z,C3',C2',296.1243 ,121.0758  ,  6.145862,  22.56141,  5.823144  , 0.1014582  , 0.9948398 
6d,C2',C3', 75.5088 ,324.2312  ,296.4502  ,2009.797  ,-62.36317   ,-0.8859056  , 0.4638656 
6g,C2',C3', 78.48372,134.6435  ,355.7467  , 955.0263 ,-17.26724   ,-0.2968289  , 0.9549307 
6j,C2',C3', 50.77031, 81.43676 ,387.8466  ,1113.211  , 85.71472   ,-0.9972044  ,-0.07472245
6n,C2',C3', 82.42853,113.0045  , 78.61318 , 226.9613 , 47.82693   ,-0.7411202  ,-0.6713723 
6p,C2',C2', 75.48767, 16.04778 ,206.9814  ,1308.208  ,-61.56396   ,-0.8793493  , 0.4761774 
7a,C3',C3',162.3183 ,173.3939  , 70.32865 , 540.8663 , 80.28376   ,-0.9856557  ,-0.1687687 
7d,C3',C3',223.506  ,304.0815  ,223.8139  ,1397.624  ,-48.53548   ,-0.7493659  , 0.6621562 
7p,C3',C2',169.2441 ,354.7643  ,801.1281  ,1474.306  ,-50.58878   ,-0.7726093  , 0.6348818 
7r,C3',C2',212.7548 ,209.0443  ,192.2789  ,1497.075  , 34.63355   , 0.5683257  , 0.8228037 
8d,C2',C3',241.3918 ,343.0647  ,160.2588  ,1452.754  ,-55.94388   ,-0.8284895  , 0.5600047 
9a,C3',C3', 47.62999,201.2533  ,165.4505  , 890.1213 ,-57.62536   ,-0.844565   , 0.535453  
