name,avg:,chi i-1,delta i-1, epsilon,   zeta,  alpha,  beta, gamma,   delta,  chi,sig:,chi-1,del-1,epsil,zeta,alpha,beta,gam,delta, chi
1a,,195.069,81.495,212.25,288.831,294.967,173.99,53.55,81.035,199.298,,11.7,3.5,9.6,7.3,7.5,8.4,5.6,3.3,9
1m,,207.373,83.513,218.12,291.593,292.247,222.3,58.067,86.093,235.96,,26.3,4.5,16.2,14.7,16.4,12.1,9.9,6.8,36
1L,,200.5,85.664,245.014,268.257,303.879,138.164,61.95,79.457,208.486,,14.9,3.5,6.1,12.6,7.8,3.8,9.7,4.7,18.1
&a,,198.612,82.112,190.682,264.945,295.967,181.839,51.455,81.512,201.4,,10.6,5,7.1,6.1,9.5,9.5,7.3,4.5,14.6
7a,,205.125,83.414,217.4,222.006,302.856,160.719,49.097,82.444,200.542,,9,3.5,23,14.4,8.9,15,5.9,2.6,15.8
3a,,195.86,85.072,216.324,173.276,289.32,164.132,45.876,84.956,202.228,,55.3,4.3,24.4,14.1,12.2,15.9,7,5.7,23.2
9a,,200.432,83.179,210.347,121.474,288.568,157.268,49.347,81.047,199.137,,32.5,2.3,14.6,13.2,11.5,22.6,5.6,3.4,26.4
1g,,206.196,80.888,218.636,290.735,167.447,159.565,51.326,85.213,198.838,,12,3.4,7.7,9,8.2,15.5,4.5,3,12.6
7d,,206.725,83.856,238.75,256.875,69.562,170.2,52.8,85.287,192.619,,40.4,4.1,15.5,11.9,9.8,23.2,5.9,2.8,14
3d,,209.76,85.295,244.085,203.815,65.88,181.13,54.68,86.035,198.37,,42.9,4.1,15.3,14.7,18.9,22.5,5.7,4,24.5
5d,,197.164,79.671,202.471,63.064,68.164,143.45,49.664,82.757,192.436,,7,4.4,7.4,13.6,11.6,30.5,7.1,2.1,13.7
1e,,203.879,80.514,200.545,280.51,249.314,82.662,167.89,85.507,181.724,,9,2.5,7.9,6.4,9,10.5,5.7,3.7,9
1c,,202.669,80.223,196.591,291.299,153.06,194.379,179.061,83.648,183.52,,7,3.3,9.1,9.5,11.6,12.2,10.2,3.4,16.6
1f,,216.31,81.395,203.03,294.445,172.195,138.54,175.565,84.47,203.455,,13.6,2.3,14,10.5,10.6,13,9.5,3.4,17.5
5j,,201.142,87.417,223.558,80.175,66.667,109.15,176.475,83.833,186.9,,21,7,23.4,15.4,9.1,10.3,6,3.6,8

1b,,201.083,84.215,215.014,288.672,300.42,177.476,58.307,144.841,230.029,,15,3.9,10.3,9.8,8.7,12.3,7.3,7.3,52.3
1[,,204.29,82.731,220.463,288.665,296.983,221.654,54.213,143.771,268.387,,15.4,3.7,10.1,9.6,8.3,8.7,6.9,7.6,27.8
3b,,207.643,84.7,226.4,168.336,292.771,177.629,48.629,147.95,244.764,,18.9,3.1,18.1,17.4,15.4,22.4,5.3,2.6,21.8
1z,,205.158,83.358,206.042,277.567,195.7,161.6,50.75,145.258,243.142,,7,2.6,17.5,19.4,14.1,25.4,4.9,4.8,21.2
5z,,207.636,82.614,206.44,52.524,163.669,148.421,50.176,147.59,224.552,,6,2.6,4.8,7.1,5.2,9.7,4.9,3.5,7
7p,,221.552,84.285,236.6,220.4,68.3,200.122,53.693,145.73,233.23,,23.4,2.8,23.8,14.9,11.9,29.7,7,5.6,34.6
1t,,207.686,81.2,199.243,288.986,180.286,194.743,178.2,147.386,223.929,,11.6,3.4,20.1,7.8,16.9,13.5,8.6,5.2,26.5
5q,,139.467,82.133,204.933,69.483,63.417,115.233,176.283,145.733,195.567,,82,8.1,6,14.3,9.2,16.8,5.5,3.6,115
1o,,225.592,83.977,216.508,287.192,297.254,225.154,293.738,150.677,236.838,,16.9,3.7,17.4,15.2,6.5,39.2,7,12.6,80.2
7r,,203.613,84.606,232.856,248.125,63.269,181.975,295.744,149.744,187.619,,9,3.9,12.6,19.4,12.9,26.9,4.3,6.6,99.2

2a,,230.03,145.399,260.339,288.756,288.444,192.733,53.097,84.067,189.998,,46.5,7.6,12.3,17.5,13.1,17.4,7.3,4.5,17.1
