dist,likelihood
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,0
1.61,0
1.62,0
1.63,0
1.64,0
1.65,0
1.66,0
1.67,0
1.68,0
1.69,0
1.7,0
1.71,0
1.72,0
1.73,0
1.74,0
1.75,0
1.76,0
1.77,0
1.78,0
1.79,0
1.8,0
1.81,0
1.82,0
1.83,0
1.84,0
1.85,0
1.86,0
1.87,0
1.88,0
1.89,0
1.9,0
1.91,0
1.92,0
1.93,0
1.94,0
1.95,0
1.96,0
1.97,0
1.98,0
1.99,0
2,0
2.01,0
2.02,0
2.03,0
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,0
2.1,8.47785570916514e-040
2.11,2.40056439923484e-039
2.12,5.62971658042495e-039
2.13,1.14124549531542e-038
2.14,2.3067474670483e-038
2.15,4.64900383718259e-038
2.16,9.43173414733508e-038
2.17,1.89014132150065e-037
2.18,3.77691683619387e-037
2.19,7.52524359639145e-037
2.2,1.4950091444566e-036
2.21,2.96147000524231e-036
2.22,5.85038817485778e-036
2.23,1.15231421063423e-035
2.24,2.26286680336247e-035
2.25,4.43085405085524e-035
2.26,8.65079984917774e-035
2.27,1.68409080798226e-034
2.28,3.26900203517878e-034
2.29,6.32710982273798e-034
2.3,1.22105853224107e-033
2.31,2.3496758213915e-033
2.32,4.50837274902475e-033
2.33,8.62526032881958e-033
2.34,1.64537647091801e-032
2.35,3.12967318770131e-032
2.36,5.93571985018338e-032
2.37,1.12250541647592e-031
2.38,2.11665813458782e-031
2.39,3.97967138953938e-031
2.4,7.46078459184416e-031
2.41,1.39464148052744e-030
2.42,2.59945059158918e-030
2.43,4.8310485638004e-030
2.44,8.9524551376704e-030
2.45,1.65418423849974e-029
2.46,3.04766015525263e-029
2.47,5.59873793179135e-029
2.48,1.02554541758281e-028
2.49,1.87309903785902e-028
2.5,3.41120374712127e-028
2.51,6.19434873935074e-028
2.52,1.12156626607888e-027
2.53,2.0248618841425e-027
2.54,3.64507933880743e-027
2.55,6.54274455516903e-027
2.56,1.17099298550424e-026
2.57,2.089729361711e-026
2.58,3.7184946327295e-026
2.59,6.59759627258034e-026
2.6,1.16720130707437e-025
2.61,2.05895703794885e-025
2.62,3.62151644875446e-025
2.63,6.35156978472647e-025
2.64,1.11072729721147e-024
2.65,1.93675883524843e-024
2.66,3.36732811015234e-024
2.67,5.83763775181243e-024
2.68,1.0090918584109e-023
2.69,1.73926632433499e-023
2.7,2.98912081871597e-023
2.71,5.12227391272559e-023
2.72,8.75234169257874e-023
2.73,1.49117240954224e-022
2.74,2.53322320789486e-022
2.75,4.29102719552269e-022
2.76,7.24755467977209e-022
2.77,1.22057355530099e-021
2.78,2.04964591941361e-021
2.79,3.43191218086177e-021
2.8,5.7297536834616e-021
2.81,9.53846036583191e-021
2.82,1.58330043281535e-020
2.83,2.62054033075196e-020
2.84,4.32475292025497e-020
2.85,7.1166341829332e-020
2.86,1.16769830050449e-019
2.87,1.91042390176282e-019
2.88,3.11657020337363e-019
2.89,5.06946375498343e-019
2.9,8.2222445651534e-019
2.91,1.32972540491561e-018
2.92,2.14425728852936e-018
2.93,3.44774607537844e-018
2.94,5.52760673283509e-018
2.95,8.83654466359677e-018
2.96,1.40854779703755e-017
2.97,2.23874364835946e-017
2.98,3.54797782494817e-017
2.99,5.60662622141748e-017
3,8.83417710724752e-017
3.01,1.38795308428012e-016
3.02,2.17434164888457e-016
3.03,3.39644753497687e-016
3.04,5.29013262537371e-016
3.05,8.2158548348038e-016
3.06,1.2722822385333e-015
3.07,1.9645315613799e-015
3.08,3.02467884519633e-015
3.09,4.64349136805554e-015
3.1,7.10812600457095e-015
3.11,1.08495230486359e-014
3.12,1.6512451602997e-014
3.13,2.50589191731028e-014
3.14,3.79187783602908e-014
3.15,5.72126506869115e-014
3.16,8.60747088296705e-014
3.17,1.29123464307976e-013
3.18,1.93143881422296e-013
3.19,2.88073249065865e-013
3.2,4.28421810831289e-013
3.21,6.35311302264047e-013
3.22,9.39395913487906e-013
3.23,1.3850246904229e-012
3.24,2.03616810912077e-012
3.25,2.98481096609737e-012
3.26,4.3628234705495e-012
3.27,6.35866966719467e-012
3.28,9.24086675235802e-012
3.29,1.33908214378087e-011
3.3,1.93486147243016e-011
3.31,2.78766940087216e-011
3.32,4.00480378026646e-011
3.33,5.73680408733068e-011
3.34,8.19423279230236e-011
3.35,1.16706727615323e-010
3.36,1.65742169988548e-010
3.37,2.34703811941017e-010
3.38,3.3140656885422e-010
3.39,4.66604643811763e-010
3.4,6.55069554156285e-010
3.41,9.17016462764764e-010
3.42,1.2800238646804e-009
3.43,1.78160197705779e-009
3.44,2.47260811825356e-009
3.45,3.42178152479278e-009
3.46,4.72173722343427e-009
3.47,6.49687503795349e-009
3.48,8.91375417921836e-009
3.49,1.21946825970554e-008
3.5,1.66354485742204e-008
3.51,2.26283631832302e-008
3.52,3.0692120844833e-008
3.53,4.15103080797508e-008
3.54,5.59810651168391e-008
3.55,7.52805391357469e-008
3.56,1.00944184566742e-007
3.57,1.34970036924642e-007
3.58,1.7994972267843e-007
3.59,2.39234509535891e-007
3.6,3.17143417305488e-007
3.61,4.19224875258806e-007
3.62,5.52584708657378e-007
3.63,7.26297571418399e-007
3.64,9.51895515299839e-007
3.65,1.24401719858724e-006
3.66,1.62116327828699e-006
3.67,2.10664393307525e-006
3.68,2.72973375103902e-006
3.69,3.5270779790153e-006
3.7,4.5443989620253e-006
3.71,5.83855444347137e-006
3.72,7.48002275940962e-006
3.73,9.55585801420966e-006
3.74,1.21732655316009e-005
